home_away,format,matches,innings,runs,balls,dismissals,not_outs,average,strike_rate,highest_score
AWAY,IPL,149,130,2921,2103,76,54,38.43,138.90,84*
HOME,IPL,86,75,1819,1285,43,32,42.30,141.56,75*
NEUTRAL,IPL,42,37,699,569,23,14,30.39,122.85,58*
AWAY,ODI,127,109,4042,4821,77,32,52.49,83.84,95
HOME,ODI,114,103,3904,4308,74,29,52.76,90.62,148
NEUTRAL,ODI,90,67,2328,2691,49,18,47.51,86.51,139*
AWAY,OVERALL,352,343,9665,11124,238,105,40.61,86.88,148
HOME,OVERALL,269,262,8584,9825,179,83,47.96,87.37,224
NEUTRAL,OVERALL,168,138,3769,4098,92,46,40.97,91.97,139*
AWAY,T20I,34,28,522,440,14,14,37.29,118.64,52*
HOME,T20I,31,29,652,504,15,14,43.47,129.37,56
NEUTRAL,T20I,30,26,410,323,14,12,29.29,126.93,43
AWAY,TEST,42,76,2180,3760,71,5,30.70,57.98,148
HOME,TEST,38,55,2209,3728,47,8,47.00,59.25,224
NEUTRAL,TEST,6,8,332,515,6,2,55.33,64.47,89
