opponent,format,matches,innings,runs,balls,dismissals,not_outs,average,strike_rate,fifties,hundreds,fours,sixes,highest_score
Royal Challengers Bangalore,IPL,33,32,839,596,21,11,39.95,140.77,4,0,51,46,84*
Mumbai Indians,IPL,44,38,772,591,22,16,35.09,130.63,3,0,57,37,63*
Kings XI Punjab,IPL,26,21,595,382,10,11,59.50,155.76,5,0,44,31,79*
Rajasthan Royals,IPL,31,26,585,455,15,11,39.00,128.57,2,0,32,25,75*
Kolkata Knight Riders,IPL,35,30,574,447,14,16,41.00,128.41,2,0,39,23,66*
Sunrisers Hyderabad,IPL,25,21,500,350,11,10,45.45,142.86,4,0,40,24,67*
Delhi Daredevils,IPL,21,19,487,348,15,4,32.47,139.94,3,0,29,26,63*
Deccan Chargers,IPL,10,10,281,248,9,1,31.22,113.31,1,0,22,6,58*
Delhi Capitals,IPL,13,13,252,181,6,7,42.00,139.23,0,0,19,13,44*
Pune Warriors,IPL,6,5,135,90,3,2,45.00,150.00,0,0,10,5,45*
Punjab Kings,IPL,9,8,112,83,7,1,16.00,134.94,0,0,7,9,27
Lucknow Super Giants,IPL,6,5,86,30,1,4,86.00,286.67,0,0,10,6,28*
Gujarat Lions,IPL,4,4,83,69,2,2,41.50,120.29,0,0,5,4,30*
Royal Challengers Bengaluru,IPL,4,3,67,37,2,1,33.50,181.08,0,0,6,4,30*
Gujarat Titans,IPL,8,5,48,31,3,2,16.00,154.84,0,0,2,4,26*
Kochi Tuskers Kerala,IPL,2,2,23,19,1,1,23.00,121.05,0,0,2,1,14*
Sri Lanka,ODI,62,48,2140,2429,33,15,64.85,88.10,19,1,163,35,107
Australia,ODI,55,48,1660,2052,37,11,44.86,80.90,11,2,112,33,139*
England,ODI,47,43,1536,1745,33,10,46.55,88.02,10,1,128,34,134
Pakistan,ODI,34,29,1200,1330,21,8,57.14,90.23,9,2,103,25,148
New Zealand,ODI,26,24,901,1108,18,6,50.06,81.32,7,0,70,18,84*
West Indies,ODI,35,29,891,1023,16,13,55.69,87.10,7,0,57,21,95
South Africa,ODI,35,31,816,924,25,6,32.64,88.31,4,0,67,18,92*
Bangladesh,ODI,20,16,557,671,11,5,50.64,83.01,2,1,47,3,101*
Zimbabwe,ODI,6,3,208,185,1,2,208.00,112.43,3,0,11,9,85*
Africa XI,ODI,3,3,174,139,2,1,87.00,125.18,0,1,17,7,139*
Hong Kong,ODI,2,2,109,99,1,1,109.00,110.10,0,1,6,6,109*
Ireland,ODI,2,1,34,50,1,0,34.00,68.00,0,0,2,0,34
Bermuda,ODI,1,1,29,25,1,0,29.00,116.00,0,0,2,1,29
Netherlands,ODI,1,1,19,40,0,1,NA [Not Out],47.50,0,0,2,0,19*
Australia,OVERALL,91,96,2963,3973,73,23,40.59,74.58,16,3,237,60,224
England,OVERALL,81,90,2920,4087,72,18,40.56,71.45,22,1,288,52,134
Sri Lanka,OVERALL,83,70,2758,3221,46,24,59.96,85.63,20,3,212,49,110
New Zealand,OVERALL,46,48,1723,2317,35,13,49.23,74.36,13,0,153,33,98
South Africa,OVERALL,60,63,1667,2228,50,13,33.34,74.82,7,1,169,30,132*
Pakistan,OVERALL,46,41,1616,1845,30,11,53.87,87.59,11,3,153,32,148
