format,position,innings,runs,dismissals,average,strike_rate
IPL,3,8,196,6,32.67,124.84
IPL,4,66,1560,43,36.28,138.05
IPL,5,74,1982,42,47.19,145.20
IPL,6,52,990,31,31.94,121.32
IPL,7,25,444,13,34.15,133.73
IPL,8,14,236,5,47.20,173.53
IPL,9,3,31,2,15.50,147.62
ODI,2,1,96,1,96.00,90.57
ODI,3,14,782,11,71.09,94.56
ODI,4,27,1268,22,57.64,92.08
ODI,5,81,3110,61,50.98,86.39
ODI,6,125,4096,85,48.19,83.59
ODI,7,29,885,18,49.17,92.77
ODI,8,2,37,2,18.50,66.07
OVERALL,2,1,96,1,96.00,90.57
OVERALL,3,29,1206,23,52.43,98.53
OVERALL,4,105,3083,70,44.04,115.34
OVERALL,5,183,5614,117,47.98,103.26
OVERALL,6,232,6846,155,44.17,83.88
OVERALL,7,165,4297,126,34.10,66.72
OVERALL,8,25,845,15,56.33,85.87
OVERALL,9,3,31,2,15.50,147.62
T20I,3,5,123,5,24.60,129.47
T20I,4,12,255,5,51.00,153.61
T20I,5,25,468,12,39.00,119.69
T20I,6,31,606,18,33.67,115.43
T20I,7,10,132,3,44.00,146.67
TEST,3,2,105,1,105.00,72.41
TEST,5,3,54,2,27.00,66.67
TEST,6,24,1154,21,54.95,60.07
TEST,7,101,2836,92,30.83,56.00
TEST,8,9,572,8,71.50,72.22
