format,batting_position,innings,runs,balls_faced,dismissals,not_outs,average,strike_rate,fours,sixes,fifties,hundreds,highest_score
IPL,3,8,196,157,6,2,32.67,124.84,13,5,1,0,58*
IPL,4,66,1560,1130,43,23,36.28,138.05,117,62,5,0,67*
IPL,5,74,1982,1365,42,32,47.19,145.20,140,99,11,0,79*
IPL,6,52,990,816,31,21,31.94,121.32,52,54,5,0,84*
IPL,7,25,444,332,13,12,34.15,133.73,35,23,2,0,63*
IPL,8,14,236,136,5,9,47.20,173.53,15,19,0,0,37*
IPL,9,3,31,21,2,1,15.50,147.62,3,2,0,0,30*
ODI,2,1,96,106,1,0,96.00,90.57,10,3,1,0,96
ODI,3,14,782,827,11,3,71.09,94.56,62,11,6,1,148
ODI,4,27,1268,1377,22,5,57.64,92.08,107,29,11,1,109*
ODI,5,81,3110,3600,61,20,50.98,86.39,230,62,18,4,134
ODI,6,125,4096,4900,85,40,48.19,83.59,307,84,30,1,139*
ODI,7,29,885,954,18,11,49.17,92.77,68,21,6,2,139*
ODI,8,2,37,56,2,0,18.50,66.07,3,0,0,0,20
OVERALL,2,1,96,106,1,0,96.00,90.57,10,3,1,0,96
OVERALL,3,29,1206,1224,23,6,52.43,98.53,86,22,8,1,148
OVERALL,4,105,3083,2673,70,35,44.04,115.34,243,100,17,1,109*
OVERALL,5,183,5614,5437,117,66,47.98,103.26,409,176,29,4,134
OVERALL,6,232,6846,8162,155,77,44.17,83.88,544,175,43,3,224
OVERALL,7,165,4297,6440,126,39,34.10,66.72,431,87,28,4,139*
OVERALL,8,25,845,984,15,10,56.33,85.87,73,34,3,2,144
OVERALL,9,3,31,21,2,1,15.50,147.62,3,2,0,0,30*
T20I,3,5,123,95,5,0,24.60,129.47,6,5,0,0,46
T20I,4,12,255,166,5,7,51.00,153.61,19,9,1,0,56
T20I,5,25,468,391,12,13,39.00,119.69,35,13,0,0,43
T20I,6,31,606,525,18,13,33.67,115.43,42,18,1,0,52*
T20I,7,10,132,90,3,7,44.00,146.67,12,4,0,0,38
TEST,3,2,105,145,1,1,105.00,72.41,5,1,1,0,68*
TEST,5,3,54,81,2,1,27.00,66.67,4,2,0,0,20
TEST,6,24,1154,1921,21,3,54.95,60.07,143,19,7,2,224
TEST,7,101,2836,5064,92,9,30.83,56.00,316,39,20,2,110
TEST,8,9,572,792,8,1,71.50,72.22,55,15,3,2,144
