format,role_group,innings,runs,balls,dismissals,not_outs,average,strike_rate,fifties,hundreds,fours,sixes
IPL,LOWER_ORDER_7_11,42,711,489,20,22,35.55,145.40,2,0,53,44
IPL,MIDDLE_ORDER_4_6,192,4532,3311,116,76,39.07,136.88,21,0,309,215
IPL,POS_1_4,74,1756,1287,49,25,35.84,136.44,6,0,130,67
IPL,POS_5_7,151,3416,2513,86,65,39.72,135.93,18,0,227,176
IPL,POS_8_11,17,267,157,7,10,38.14,170.06,0,0,18,21
IPL,TOP_ORDER_1_3,8,196,157,6,2,32.67,124.84,1,0,13,5
ODI,LOWER_ORDER_7_11,31,922,1010,20,11,46.10,91.29,6,2,71,21
ODI,MIDDLE_ORDER_4_6,233,8474,9877,168,65,50.44,85.80,59,6,644,175
ODI,POS_1_4,42,2146,2310,34,8,63.12,92.90,18,2,179,43
ODI,POS_5_7,235,8091,9454,164,71,49.34,85.58,54,7,605,167
ODI,POS_8_11,2,37,56,2,0,18.50,66.07,0,0,3,0
ODI,TOP_ORDER_1_3,15,878,933,12,3,73.17,94.11,7,1,72,14
OVERALL,LOWER_ORDER_7_11,193,5173,7445,143,50,36.17,69.48,31,6,507,123
OVERALL,MIDDLE_ORDER_4_6,520,15543,16272,342,178,45.45,95.52,89,8,1196,451
OVERALL,POS_1_4,135,4385,4003,94,41,46.65,109.54,26,2,339,125
OVERALL,POS_5_7,580,16757,20039,398,182,42.10,83.62,100,11,1384,438
OVERALL,POS_8_11,28,876,1005,17,11,51.53,87.16,3,2,76,36
OVERALL,TOP_ORDER_1_3,30,1302,1330,24,6,54.25,97.89,9,1,96,25
T20I,LOWER_ORDER_7_11,10,132,90,3,7,44.00,146.67,0,0,12,4
T20I,MIDDLE_ORDER_4_6,68,1329,1082,35,33,37.97,122.83,2,0,96,40
T20I,POS_1_4,17,378,261,10,7,37.80,144.83,1,0,25,14
T20I,POS_5_7,66,1206,1006,33,33,36.55,119.88,1,0,89,35
T20I,TOP_ORDER_1_3,5,123,95,5,0,24.60,129.47,0,0,6,5
TEST,LOWER_ORDER_7_11,110,3408,5856,100,10,34.08,58.20,23,4,371,54
TEST,MIDDLE_ORDER_4_6,27,1208,2002,23,4,52.52,60.34,7,2,147,21
TEST,POS_1_4,2,105,145,1,1,105.00,72.41,1,0,5,1
TEST,POS_5_7,128,4044,7066,115,13,35.17,57.23,27,4,463,60
TEST,POS_8_11,9,572,792,8,1,71.50,72.22,3,2,55,15
TEST,TOP_ORDER_1_3,2,105,145,1,1,105.00,72.41,1,0,5,1
