tournament,year,team,matches,innings,runs,average,strike_rate,fifties,hundreds,highest_score,tournament_result
ICC Champions Trophy,2006,India,3,3,86,28.67,78.18,1,0,51,Participated
ICC Champions Trophy,2009,India,3,1,3,3.00,33.33,0,0,3,Participated
ICC Champions Trophy,2013,India,5,2,27,13.50,90.00,0,0,27,CHAMPIONS (Won Champions Trophy)
ICC Champions Trophy,2017,India,5,2,67,33.50,98.53,1,0,63,Runners-Up
ICC Cricket World Cup,2011,India,9,8,241,48.20,81.69,1,0,91*,CHAMPIONS (Won ODI World Cup)
ICC Cricket World Cup,2015,India,8,6,237,59.25,102.16,2,0,85*,Runners-Up
ICC World Cup,2007,India,3,3,29,9.67,100.00,0,0,29,Participated
ICC World Twenty20,2007,India,6,6,154,30.80,128.33,0,0,45,CHAMPIONS (Won T20 World Cup)
ICC World Twenty20,2009,India,5,5,86,21.50,96.63,0,0,30*,Participated
ICC World Twenty20,2010,India,4,4,70,35.00,137.25,0,0,29,Participated
ICC World Twenty20,2012,India,4,3,47,23.50,111.90,0,0,23*,Participated
Indian Premier League,2008,Chennai Super Kings,16,14,414,41.40,133.55,2,0,65,Runners-Up
Indian Premier League,2009,Chennai Super Kings,14,13,332,41.50,127.20,2,0,58*,Runners-Up
Indian Premier League,2010,Chennai Super Kings,13,11,287,31.89,136.67,2,0,66*,CHAMPIONS (CSK Title 1)
Indian Premier League,2011,Chennai Super Kings,16,13,392,43.56,158.70,2,0,70*,CHAMPIONS (CSK Title 2)
Indian Premier League,2012,Chennai Super Kings,18,17,358,29.83,128.78,1,0,51*,Runners-Up
Indian Premier League,2013,Chennai Super Kings,18,16,461,41.91,162.90,4,0,67*,Runners-Up
Indian Premier League,2014,Chennai Super Kings,16,15,371,74.20,148.40,1,0,57*,Participated
Indian Premier League,2015,Chennai Super Kings,17,17,372,31.00,121.97,1,0,53,Runners-Up
Indian Premier League,2016,Rising Pune Supergiants,14,12,284,40.57,135.24,1,0,64*,Participated
Indian Premier League,2017,Rising Pune Supergiant,16,15,290,26.36,116.00,1,0,61*,Runners-Up
Indian Premier League,2018,Chennai Super Kings,16,15,455,75.83,150.66,3,0,79*,CHAMPIONS (CSK Title 3 - Comeback)
Indian Premier League,2019,Chennai Super Kings,15,12,416,83.20,134.63,3,0,84*,Runners-Up
Indian Premier League,2020,Chennai Super Kings,14,12,200,25.00,116.28,0,0,47*,Participated
Indian Premier League,2021,Chennai Super Kings,16,11,114,16.29,106.54,0,0,18,CHAMPIONS (CSK Title 4)
Indian Premier League,2022,Chennai Super Kings,14,13,232,33.14,123.40,1,0,50*,Participated
Indian Premier League,2023,Chennai Super Kings,16,12,104,26.00,182.46,0,0,32*,CHAMPIONS (CSK Title 5)
Indian Premier League,2024,Chennai Super Kings,14,11,161,53.67,220.55,0,0,37*,Participated
Indian Premier League,2025,Chennai Super Kings,14,13,196,24.50,135.17,0,0,30*,Participated
World Cup,2019,India,8,7,245,49.00,94.59,2,0,56*,Runners-Up
