venue,city,country,format,matches,innings,runs,dismissals,not_outs,average,strike_rate,highest_score
"MA Chidambaram Stadium, Chepauk",Chennai,India,IPL,46,43,1145,30,13,38.17,142.41,67*
Maharashtra Cricket Association Stadium,Pune,India,IPL,17,16,421,7,9,60.14,138.94,61*
M Chinnaswamy Stadium,Bangalore,India,IPL,8,8,309,5,3,61.80,177.59,70*
Eden Gardens,Kolkata,India,IPL,13,11,278,6,5,46.33,134.30,66*
Wankhede Stadium,Mumbai,India,IPL,17,14,250,10,4,25.00,114.68,43*
MA Chidambaram Stadium,Chennai,India,IPL,8,5,218,1,4,218.00,147.30,75*
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,IPL,21,17,184,7,10,26.29,153.33,32*
Dubai International Cricket Stadium,Dubai,United Arab Emirates,IPL,14,12,183,8,4,22.88,111.59,47*
"Wankhede Stadium, Mumbai",Mumbai,India,IPL,12,10,166,6,4,27.67,128.68,50*
M.Chinnaswamy Stadium,Bengaluru,India,IPL,2,2,154,0,2,NA [Not Out],187.80,84*
Sawai Mansingh Stadium,Jaipur,India,IPL,6,6,145,4,2,36.25,130.63,58
JSCA International Stadium Complex,Ranchi,India,IPL,5,5,138,2,3,69.00,126.61,57*
Feroz Shah Kotla,Delhi,India,IPL,7,6,132,5,1,26.40,126.92,44
SuperSport Park,Centurion,South Africa,IPL,3,3,118,0,3,NA [Not Out],159.46,56*
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,IPL,5,4,110,3,1,36.67,157.14,64*
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,IPL,6,6,107,6,0,17.83,130.49,37
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,IPL,6,5,97,4,1,24.25,142.65,32
Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown,IPL,2,2,89,0,2,NA [Not Out],158.93,79*
Sharjah Cricket Stadium,Sharjah,United Arab Emirates,IPL,6,6,86,2,4,43.00,119.44,29*
Dr DY Patil Sports Academy,Mumbai,India,IPL,4,3,81,2,1,40.50,126.56,30
Subrata Roy Sahara Stadium,Pune,India,IPL,2,2,71,1,1,71.00,161.36,45*
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,IPL,4,3,70,2,1,35.00,179.49,43
"Brabourne Stadium, Mumbai",Mumbai,India,IPL,4,3,65,2,1,32.50,104.84,26
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,IPL,2,2,60,1,1,60.00,133.33,54*
Buffalo Park,East London,South Africa,IPL,1,1,58,0,1,NA [Not Out],156.76,58*
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,IPL,3,2,54,0,2,NA [Not Out],270.00,28*
"Sardar Patel Stadium, Motera",Ahmedabad,India,IPL,2,2,52,1,1,52.00,92.86,31*
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Unknown,IPL,4,4,52,1,3,52.00,192.59,28*
Arun Jaitley Stadium,Delhi,India,IPL,2,2,49,1,1,49.00,84.48,32*
Kingsmead,Durban,South Africa,IPL,4,4,47,4,0,11.75,92.16,22
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,IPL,4,3,40,1,2,40.00,210.53,26*
St George's Park,Port Elizabeth,South Africa,IPL,2,2,39,1,1,39.00,108.33,23*
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,IPL,3,3,38,2,1,19.00,172.73,25
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,IPL,1,1,37,0,1,NA [Not Out],231.25,37*
Newlands,Cape Town,South Africa,IPL,1,1,36,1,0,36.00,138.46,36
New Wanderers Stadium,Johannesburg,South Africa,IPL,2,2,34,2,0,17.00,91.89,28
Shaheed Veer Narayan Singh International Stadium,Raipur,Pakistan,IPL,1,1,27,1,0,27.00,112.50,27
Saurashtra Cricket Association Stadium,Rajkot,India,IPL,2,2,27,1,1,27.00,150.00,22*
Rajiv Gandhi International Stadium,Hyderabad,India,IPL,2,2,27,1,1,27.00,135.00,25*
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,IPL,1,1,27,1,0,27.00,225.00,27
Barabati Stadium,Cuttack,India,IPL,1,1,23,1,0,23.00,115.00,23
"Arun Jaitley Stadium, Delhi",Delhi,India,IPL,4,2,21,1,1,21.00,100.00,16
"Eden Gardens, Kolkata",Kolkata,India,IPL,2,2,19,0,2,NA [Not Out],90.48,17*
"Barsapara Cricket Stadium, Guwahati",Guwahati,India,IPL,1,1,16,1,0,16.00,145.45,16
Nehru Stadium,Kochi,India,IPL,1,1,14,0,1,NA [Not Out],107.69,14*
"Maharashtra Cricket Association Stadium, Pune",Pune,India,IPL,3,2,10,2,0,5.00,100.00,8
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,IPL,1,1,7,1,0,7.00,53.85,7
Holkar Cricket Stadium,Indore,India,IPL,1,1,5,1,0,5.00,45.45,5
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown,IPL,1,1,1,1,0,1.00,50.00,1
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,IPL,2,1,1,1,0,1.00,25.00,1
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,IPL,1,1,1,0,1,NA [Not Out],50.00,1*
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India,IPL,1,1,0,1,0,0.00,0.00,0
Shere Bangla National Stadium,Mirpur,Pakistan,ODI,17,14,591,9,5,65.67,88.21,101*
R Premadasa Stadium,Colombo,Sri Lanka,ODI,12,11,483,9,2,53.67,81.18,94
Rangiri Dambulla International Stadium,,Sri Lanka,ODI,14,13,434,9,4,48.22,70.57,67
National Stadium,Karachi,Pakistan,ODI,7,6,404,3,3,134.67,97.58,109*
"MA Chidambaram Stadium, Chepauk",Chennai,India,ODI,6,6,401,4,2,100.25,101.78,139*
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,ODI,8,8,356,6,2,59.33,92.47,139*
Nehru Stadium,Kochi,India,ODI,7,7,283,5,2,56.60,74.67,72
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,ODI,6,5,268,3,2,89.33,101.90,124
"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,ODI,6,6,262,5,1,52.40,75.29,88*
Adelaide Oval,Adelaide,Australia,ODI,6,6,262,2,4,131.00,83.97,58*
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,ODI,6,5,260,4,1,65.00,104.84,148
Feroz Shah Kotla,Delhi,India,ODI,8,6,236,3,3,78.67,73.07,71*
Sydney Cricket Ground,Sydney,Australia,ODI,7,6,215,5,1,43.00,65.15,65
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,ODI,5,5,202,3,2,67.33,90.99,87*
Melbourne Cricket Ground,Melbourne,Australia,ODI,7,7,199,5,2,39.80,74.25,87*
Kennington Oval,London,England,ODI,7,5,198,5,0,39.60,89.19,69
Barabati Stadium,Cuttack,India,ODI,2,2,184,2,0,92.00,100.55,134
Wankhede Stadium,Mumbai,India,ODI,6,6,175,4,2,43.75,85.37,91*
Pallekele International Cricket Stadium,,Sri Lanka,ODI,3,3,170,1,2,170.00,88.54,67*
Green Park,Kanpur,India,ODI,6,6,168,4,2,42.00,88.89,49
"Sabina Park, Kingston",Jamaica,Jamaica,ODI,5,4,165,4,0,41.25,75.69,95
Lord's,London,England,ODI,3,3,165,2,1,82.50,81.68,78*
Madhavrao Scindia Cricket Ground,Rajkot,India,ODI,4,3,159,3,0,53.00,103.92,72
Eden Gardens,Kolkata,India,ODI,5,4,159,2,2,79.50,77.94,75*
"Queen's Park Oval, Port of Spain",Trinidad,Trinidad and Tobago,ODI,8,8,156,4,4,39.00,86.67,46*
Eden Park,Auckland,New Zealand,ODI,3,3,144,2,1,72.00,91.72,85*
M Chinnaswamy Stadium,Bangalore,India,ODI,6,5,138,5,0,27.60,113.11,62
Seddon Park,Hamilton,New Zealand,ODI,4,2,135,1,1,135.00,115.38,79*
Harare Sports Club,,Zimbabwe,ODI,6,3,134,2,1,67.00,107.20,67*
"Sir Vivian Richards Stadium, North Sound",Antigua,Antigua and Barbuda,ODI,2,2,132,1,1,132.00,68.39,78*
Sophia Gardens,Cardiff,England,ODI,4,3,129,2,1,64.50,125.24,52
McLean Park,Napier,New Zealand,ODI,3,2,124,1,1,124.00,91.85,84*
Old Trafford,Manchester,England,ODI,4,4,120,3,1,40.00,78.43,56*
Reliance Stadium,Vadodara,India,ODI,3,3,118,3,0,39.33,93.65,80
Captain Roop Singh Stadium,Gwalior,India,ODI,2,2,113,0,2,NA [Not Out],141.25,68*
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,ODI,4,4,107,4,0,26.75,76.98,65
New Wanderers Stadium,Johannesburg,South Africa,ODI,3,2,103,2,0,51.50,78.03,65
Keenan Stadium,Jamshedpur,Unknown,ODI,1,1,96,1,0,96.00,90.57,96
Headingley,Leeds,England,ODI,4,3,95,3,0,31.67,76.00,42
