year,format,matches,innings,runs,balls,dismissals,not_outs,average,strike_rate,fifties,hundreds,fours,sixes,highest_score
2004,ODI,2,2,7,3,1,1,7.00,233.33,0,0,0,1,7*
2004,OVERALL,2,2,7,3,1,1,7.00,233.33,0,0,0,1,7*
2005,ODI,16,14,571,576,11,3,51.91,99.13,3,1,42,20,148
2005,OVERALL,17,16,634,658,13,3,48.77,96.35,3,1,50,20,148
2005,TEST,1,2,63,82,2,0,31.50,76.83,0,0,8,0,49
2006,ODI,27,24,793,859,19,5,41.74,92.32,7,0,78,19,96
2006,OVERALL,38,42,1281,1510,37,5,34.62,84.83,8,1,144,31,148
2006,T20I,1,1,0,2,1,0,0.00,0.00,0,0,0,0,0
2006,TEST,10,17,488,649,17,0,28.71,75.19,1,1,66,12,148
2007,ODI,35,31,1035,1170,24,7,43.12,88.46,6,1,84,19,139*
2007,OVERALL,50,51,1666,1985,38,13,43.84,83.93,11,1,149,33,139*
2007,T20I,7,7,163,125,5,2,32.60,130.40,0,0,13,4,45
2007,TEST,8,13,468,690,9,4,52.00,67.83,5,0,52,10,92
2008,IPL,16,14,414,310,10,4,41.40,133.55,2,0,38,15,65
2008,ODI,28,25,1066,1307,18,7,59.22,81.56,8,1,71,14,109*
2008,OVERALL,57,59,2122,2850,47,12,45.15,74.46,16,1,169,37,109*
2008,T20I,1,1,9,27,1,0,9.00,33.33,0,0,0,0,9
2008,TEST,12,19,633,1206,18,1,35.17,52.49,6,0,60,8,92
2009,IPL,14,13,332,261,8,5,41.50,127.20,2,0,22,9,58*
2009,ODI,29,24,1198,1400,17,7,70.47,85.57,9,2,79,18,124
2009,OVERALL,58,53,2083,2466,37,16,56.30,84.47,13,4,145,38,124
2009,T20I,10,10,184,182,8,2,23.00,101.10,0,0,10,3,46
2009,TEST,5,6,369,623,4,2,92.25,59.23,2,2,34,8,110
2010,IPL,13,11,287,210,9,2,31.89,136.67,2,0,26,8,66*
2010,ODI,18,17,600,760,13,4,46.15,78.95,3,1,52,9,101*
2010,OVERALL,48,51,1706,2371,42,9,40.62,71.95,9,2,160,32,132*
2010,T20I,4,4,70,51,2,2,35.00,137.25,0,0,3,4,29
2010,TEST,13,19,749,1350,18,1,41.61,55.48,4,1,79,11,132*
2011,IPL,16,13,392,247,9,4,43.56,158.70,2,0,25,23,70*
2011,ODI,24,22,764,850,13,9,58.77,89.88,6,0,59,14,91*
2011,OVERALL,55,59,1706,2022,43,16,39.67,84.37,11,1,132,48,144
2011,T20I,3,3,39,45,2,1,19.50,86.67,0,0,1,1,21
2011,TEST,12,21,511,880,19,2,26.89,58.07,3,1,47,10,144
2012,IPL,18,17,358,278,12,5,29.83,128.78,1,0,26,9,51*
2012,ODI,16,14,524,598,8,6,65.50,87.63,3,1,37,9,113*
2012,OVERALL,55,55,1579,1988,36,19,43.86,79.43,9,1,130,31,113*
2012,T20I,13,11,250,204,5,6,50.00,122.55,0,0,22,5,48*
2012,TEST,8,13,447,908,11,2,40.64,49.23,5,0,45,8,99
2013,IPL,18,16,461,283,11,5,41.91,162.90,4,0,32,25,67*
2013,ODI,26,20,753,784,12,8,62.75,96.05,5,1,67,24,139*
2013,OVERALL,53,49,1697,1722,33,16,51.42,98.55,9,2,157,55,224
2013,T20I,1,1,24,21,0,1,NA [Not Out],114.29,0,0,2,0,24*
2013,TEST,8,12,459,634,10,2,45.90,72.40,0,1,56,6,224
2014,IPL,16,15,371,250,5,10,74.20,148.40,1,0,22,20,57*
2014,ODI,12,10,418,454,8,2,52.25,92.07,5,0,32,11,79*
2014,OVERALL,44,47,1400,1743,30,17,46.67,80.32,11,0,134,38,82
2014,T20I,7,5,77,58,1,4,77.00,132.76,0,0,4,4,27*
2014,TEST,9,17,534,981,16,1,33.38,54.43,5,0,76,3,82
2015,IPL,17,17,372,305,12,5,31.00,121.97,1,0,27,17,53
2015,ODI,20,17,640,737,14,3,45.71,86.84,4,0,50,11,92*
2015,OVERALL,39,36,1037,1062,27,9,38.41,97.65,5,0,79,29,92*
