match_id,date,year,format,competition,team,opponent,venue,catches,stumpings,run_outs,total_dismissals
64914,2004-12-23,2004,ODI,India tour of Bangladesh,India,Bangladesh,MA Aziz Stadium,0,0,0,0
64917,2004-12-27,2004,ODI,India tour of Bangladesh,India,Bangladesh,Bangabandhu National Stadium,3,2,0,5
64939,2005-04-05,2005,ODI,Pakistan tour of India,India,Pakistan,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,0,2
64941,2005-04-12,2005,ODI,Pakistan tour of India,India,Pakistan,"Sardar Patel (Gujarat) Stadium, Motera",0,0,0,0
64942,2005-04-15,2005,ODI,Pakistan tour of India,India,Pakistan,Green Park,0,0,0,0
64943,2005-04-17,2005,ODI,Pakistan tour of India,India,Pakistan,Arun Jaitley Stadium,2,0,0,2
214742,2005-07-31,2005,ODI,Indian Oil Cup,India,West Indies,Rangiri Dambulla International Stadium,1,0,0,1
217481,2005-08-29,2005,ODI,Videocon Triangular Series,India,Zimbabwe,Harare Sports Club,0,0,0,0
217979,2005-09-04,2005,ODI,Videocon Triangular Series,India,Zimbabwe,Harare Sports Club,0,1,0,1
218250,2005-09-06,2005,ODI,Videocon Triangular Series,India,New Zealand,Harare Sports Club,1,1,0,2
223018,2005-10-25,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,Vidarbha C.A. Ground,0,2,0,2
223334,2005-10-28,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,0,1
223902,2005-11-03,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,Nehru Stadium,1,0,0,1
224231,2005-11-06,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,"Sardar Patel (Gujarat) Stadium, Motera",0,0,0,0
224556,2005-11-09,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,Madhavrao Scindia Cricket Ground,2,1,0,3
225437,2005-11-12,2005,ODI,Sri Lanka tour of India,India,Sri Lanka,Reliance Stadium,1,0,0,1
