date,milestone,format,details
2004-12-23,International Debut,ODI,ODI debut vs Bangladesh at Chattogram (run out for 0).
2005-04-05,Maiden International Century,ODI,148 vs Pakistan at Visakhapatnam in his 5th ODI.
2005-12-02,Test Debut,TEST,Test debut vs Sri Lanka at Chennai (scored 30).
2006-01-21,Maiden Test Century,TEST,148 vs Pakistan at Faisalabad.
2006-04-19,Fastest to ICC No. 1 ODI Batter,ODI,Reached World No. 1 ODI ranking in just 42 innings.
2007-09-13,Captaincy Debut,T20I,Appointed India captain for the inaugural 2007 ICC World T20.
2008-04-11,Test Captaincy Debut,TEST,Captained India in 3rd Test vs South Africa at Kanpur (India won by 8 wickets).
2008-04-19,IPL Debut & CSK Captaincy,IPL,Led Chennai Super Kings in their inaugural IPL match vs Kings XI Punjab.
2009-12-06,Rank #1 Test Nation,TEST,Led India to ICC Test Championship Mace No. 1 ranking for the first time.
2011-04-02,ICC Cricket World Cup Victory,ODI,Player of the Match in World Cup Final with 91*.
2013-02-24,Maiden Test Double Century,TEST,Scored 224 vs Australia in Chennai (highest by an Indian wicketkeeper).
2013-06-23,ICC White-Ball Trifecta Completed,ICC,"First captain in history to win T20 WC (2007), CWC (2011), and Champions Trophy (2013)."
2014-12-30,Test Retirement,TEST,"Retired from Test cricket after 90 matches, 4876 runs, and 27 wins as captain."
2017-09-03,100 ODI Stumpings,ODI,First wicketkeeper in cricket history to effect 100 stumpings in ODIs.
2018-07-14,"10,000 ODI Runs",ODI,"Became only the 2nd wicketkeeper-batsman (after Sangakkara) to reach 10,000 ODI runs with a 50+ career average."
2018-09-25,200 ODIs as Captain,ODI,Captained India for the 200th time vs Afghanistan in Asia Cup at Dubai.
2020-08-15,International Retirement,ALL,Announced retirement from international cricket ('Consider me as retired from 1929 hrs').
2023-05-29,5th IPL Trophy & 250th IPL Match,IPL,Led CSK to record 5th IPL title in his 250th IPL appearance.
