year,competition,team,captain,stage,opponent,venue,result,significance,source
2007,ICC Men's T20 World Cup,India,MS Dhoni,Final,Pakistan,"Wanderers, Johannesburg",Won by 5 runs,Inaugural T20 World Cup title; Dhoni's first ICC tournament as captain; ignited India's T20 revolution.,ICC Official Records
2008,Commonwealth Bank Series (CB Series),India,MS Dhoni,Finals,Australia,"SCG & MCG, Australia",Won Best-of-3 Finals 2-0,"Historic ODI tri-series victory in Australia, cementing youthful Indian white-ball era.",BCCI / Cricket Australia
2009,ICC Test Championship Mace (Rank #1),India,MS Dhoni,Rank #1 Test Team,Sri Lanka / World,"Brabourne Stadium, Mumbai",World No. 1 Ranking,India became the No. 1 ranked Test team for the first time in history under Dhoni's leadership.,ICC Official Records
2010,Asia Cup,India,MS Dhoni,Final,Sri Lanka,"Rangiri Dambulla Stadium, Dambulla",Won by 81 runs,First Asia Cup title for India in 15 years.,Asian Cricket Council
2010,Indian Premier League (IPL 2010),Chennai Super Kings,MS Dhoni,Final,Mumbai Indians,"DY Patil Stadium, Navi Mumbai",Won by 22 runs,CSK's maiden IPL title.,IPL Official Records
2010,Champions League Twenty20 (CLT20 2010),Chennai Super Kings,MS Dhoni,Final,Warriors,"Wanderers, Johannesburg",Won by 8 wickets,CSK completed double of IPL + CLT20 in same calendar year.,BCCI / CLT20 Records
2011,ICC Men's Cricket World Cup,India,MS Dhoni,Final,Sri Lanka,"Wankhede Stadium, Mumbai",Won by 6 wickets,"India's 2nd World Cup win after 28 years. Dhoni hit iconic winning six (91* off 79 balls, Player of the Match).",ICC Official Records
2011,Indian Premier League (IPL 2011),Chennai Super Kings,MS Dhoni,Final,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Won by 58 runs,First team in IPL history to successfully defend their title.,IPL Official Records
2013,ICC Champions Trophy,India,MS Dhoni,Final,England,"Edgbaston, Birmingham",Won by 5 runs,"Dhoni became the only captain in cricket history to win all three major ICC white-ball trophies (T20 WC, CWC, CT).",ICC Official Records
2014,Champions League Twenty20 (CLT20 2014),Chennai Super Kings,MS Dhoni,Final,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",Won by 8 wickets,Second CLT20 title for CSK; Suresh Raina 109* & Dhoni 23*.,BCCI / CLT20 Records
2016,Asia Cup (T20 Format),India,MS Dhoni,Final,Bangladesh,"Sher-e-Bangla Stadium, Mirpur",Won by 8 wickets,6th Asia Cup title for India; Dhoni finished match with 20* off 6 balls.,Asian Cricket Council
2018,Indian Premier League (IPL 2018),Chennai Super Kings,MS Dhoni,Final,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Won by 8 wickets,'The Comeback Kings' - CSK won IPL title upon returning to the league after a two-year suspension.,IPL Official Records
2021,Indian Premier League (IPL 2021),Chennai Super Kings,MS Dhoni,Final,Kolkata Knight Riders,"Dubai International Stadium, Dubai",Won by 27 runs,CSK's 4th IPL title in Dhoni's 300th match as T20 captain.,IPL Official Records
2023,Indian Premier League (IPL 2023),Chennai Super Kings,MS Dhoni,Final,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Won by 5 wickets (DLS),Record-equaling 5th IPL title for CSK; dramatic last-ball thriller at 3:00 AM.,IPL Official Records
